,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,300507,N苏奥,43.981,35.88,32.89,35.88,32.89,24.92,9177,0.05505
1,002629,仁智油服,10.036,15.24,13.8,15.24,13.77,13.85,28692259,8.49509
2,603029,天鹅股份,10.035,15.57,15.57,15.57,15.57,14.15,3601,0.01543
3,000099,中信海直,10.016,13.51,12.18,13.51,12.13,12.28,38139036,6.29284
4,300277,海联讯,10.015,35.81,32.25,35.81,32.25,32.55,3800989,2.84292
5,002097,山河智能,10.012,9.01,8.18,9.01,8.01,8.19,44918891,7.13678
6,002684,猛狮科技,10.012,27.36,25.1,27.36,25.1,24.87,19503423,9.51036
7,600538,国发股份,10.01,11.32,10.25,11.32,10.18,10.29,23892932,8.55715
8,002795,永和智控,10.009,23.52,23.52,23.52,23.52,21.38,5800,0.0232
9,300508,维宏股份,10.009,61.99,61.99,61.99,61.99,56.35,19058,0.16124
10,603868,飞科电器,10.007,61.23,60.23,61.23,58.35,55.66,23473068,53.83731
11,002793,东音股份,10.005,44.75,44.75,44.75,44.75,40.68,92795,0.37118
12,300481,濮阳惠成,10.002,67.31,61.3,67.31,59.9,61.19,7785000,38.925
13,603726,朗迪集团,10.0,29.92,29.92,29.92,29.92,27.2,30571,0.1291
14,000665,湖北广电,10.0,15.4,15.4,15.4,15.4,14.0,1999321,0.43363
15,002729,好利来,10.0,94.82,86.2,94.82,85.09,86.2,2102397,11.89139
16,300073,当升科技,10.0,45.32,40.8,45.32,40.17,41.2,20112212,12.6498
17,300097,智云股份,10.0,48.29,43.01,48.29,43.0,43.9,10035826,12.59999
18,603701,德宏股份,9.998,67.11,67.11,67.11,65.18,61.01,8164656,41.65641
19,300466,赛摩电气,9.993,30.16,28.85,30.16,28.38,27.42,19550837,32.58473
20,600073,上海梅林,9.99,11.45,10.78,11.45,10.78,10.41,22950735,2.44748
21,300509,新美星,9.988,27.86,27.86,27.86,27.86,25.33,7000,0.035
22,603822,嘉澳环保,9.982,18.62,18.62,18.62,18.62,16.93,2200,0.01199
23,600370,三房巷,9.979,15.76,15.3,15.76,15.0,14.33,8540225,2.67805
24,002106,莱宝高科,9.979,10.36,9.69,10.36,9.56,9.42,68534933,9.74131
25,300249,依米康,9.979,10.58,9.82,10.58,9.39,9.62,10396544,3.73897
26,002094,青岛金王,9.695,24.44,22.28,24.5,22.0,22.28,10057227,3.1249
27,600259,广晟有色,9.395,56.59,51.91,56.9,51.91,51.73,12432920,4.81326
28,300021,大禹节水,9.182,18.55,17.0,18.69,16.77,16.99,13857487,8.36861
29,000881,大连国际,8.932,19.27,17.9,19.36,17.61,17.69,20375126,6.61607
30,000710,天兴仪表,8.75,30.45,27.81,30.8,27.8,28.0,6368918,4.21225
31,300061,康耐特,8.401,28.0,25.5,28.0,25.0,25.83,9477299,6.57466
32,002260,德奥通航,8.127,27.14,24.9,27.61,24.7,25.1,12164369,4.58687
33,300037,新宙邦,7.955,52.11,47.78,53.1,47.51,48.27,19738984,18.1362
34,002618,丹邦科技,7.482,42.95,39.65,43.88,39.45,39.96,4057331,2.22153
35,600300,维维股份,6.955,5.69,5.21,5.7,5.2,5.32,46177600,2.76182
36,600280,中央商场,6.745,7.28,7.11,7.37,7.02,6.82,19051467,1.65905
37,603901,永创智能,6.739,30.57,28.35,31.5,28.03,28.64,3089343,6.49101
38,002111,威海广泰,6.711,25.6,23.65,26.2,23.53,23.99,9010892,3.41757
39,300341,麦迪电气,6.587,31.23,29.3,31.89,28.71,29.3,3544476,1.9211
40,000573,粤宏远Ａ,6.505,8.35,7.8,8.43,7.7,7.84,32378943,5.20417
41,300449,汉邦高科,6.441,100.48,92.0,101.68,91.3,94.4,1718724,4.59071
42,002035,华帝股份,6.299,23.12,21.61,23.26,21.32,21.75,6909777,2.06605
43,002589,瑞康医药,6.287,32.63,30.46,32.8,30.21,30.7,7640139,2.63159
44,601607,上海医药,6.283,18.1,17.1,18.18,17.06,17.03,16470547,0.85653
45,002034,美 欣 达,6.261,40.9,37.8,41.09,37.71,38.49,2673385,4.39577
46,600549,厦门钨业,6.205,23.62,22.2,23.73,22.06,22.24,26565476,2.99642
47,002023,海特高新,6.198,15.42,14.55,15.75,14.43,14.52,21795397,3.7809
48,600386,北巴传媒,6.183,18.72,17.41,19.16,17.41,17.63,12203482,3.02666
49,603369,今世缘,5.978,35.81,34.5,36.82,34.15,33.79,6073145,2.23031
50,002596,海南瑞泽,5.917,29.0,27.0,29.08,27.0,27.38,8620749,4.62797
51,603006,联明股份,5.88,45.38,42.06,46.29,42.06,42.86,4264640,12.38281
52,600898,三联商社,5.756,15.8,14.82,16.34,14.75,14.94,13564877,5.37172
53,300208,恒顺众昇,5.754,15.07,14.28,15.37,14.1,14.25,12162460,2.02576
54,000601,韶能股份,5.66,8.96,8.55,9.04,8.45,8.48,24110877,2.23288
55,002134,天津普林,5.62,16.35,15.33,16.75,15.15,15.48,13575686,5.52194
56,600597,光明乳业,5.531,11.83,11.19,12.08,11.11,11.21,16786494,1.37111
57,002490,山东墨龙,5.461,9.27,8.85,9.45,8.74,8.79,24109631,8.03837
58,600338,西藏珠峰,5.454,25.91,24.69,26.1,24.28,24.57,8415933,5.31533
59,002234,民和股份,5.447,26.91,25.2,27.5,24.96,25.52,5204508,2.5246
60,600199,金种子酒,5.37,8.83,8.49,9.01,8.42,8.38,21270223,3.82713
61,002443,金洲管道,5.354,12.2,11.58,12.22,11.45,11.58,25260445,5.02139
62,300233,金城医药,5.352,25.0,24.18,26.09,24.1,23.73,5122044,2.2654
63,300127,银河磁体,5.287,16.53,15.62,17.27,15.6,15.7,17581495,7.95399
64,300260,新莱应材,5.231,29.57,28.02,29.77,27.82,28.1,2093115,4.43058
65,002358,森源电气,5.227,16.91,16.0,17.1,15.84,16.07,20941268,3.02553
66,000668,荣丰控股,5.182,27.2,25.71,28.28,25.55,25.86,6842358,4.66455
67,002632,道明光学,5.133,23.76,22.22,24.17,22.22,22.6,8177396,3.21165
68,000692,惠天热电,5.088,5.99,5.67,6.1,5.65,5.7,28402381,5.33092
69,000403,ST生化,5.0,30.66,29.14,30.66,28.73,29.2,5097485,2.72147
70,600773,西藏城投,4.989,14.73,13.9,14.97,13.75,14.03,38505692,5.55519
71,300346,南大光电,4.945,25.68,24.3,26.5,24.11,24.47,4275082,3.37314
72,600983,惠而浦,4.902,10.7,10.33,11.22,10.3,10.2,12628166,2.37015
73,600854,春兰股份,4.854,7.56,7.16,7.66,7.08,7.21,16300695,3.13802
74,000860,顺鑫农业,4.85,20.32,19.17,20.65,19.11,19.38,20893416,3.71109
75,002027,分众传媒,4.824,32.81,30.9,33.0,30.71,31.3,11525401,5.62507
76,002553,南方轴承,4.747,13.02,12.53,13.25,12.5,12.43,16311646,7.55618
77,300438,鹏辉能源,4.746,110.8,105.0,114.88,103.81,105.78,2491000,6.50991
78,002299,圣农发展,4.708,24.02,22.66,24.5,22.56,22.94,6721035,0.74694
79,300241,瑞丰光电,4.598,16.15,15.45,16.17,15.14,15.44,5348407,3.26699
80,600262,北方股份,4.57,29.06,27.4,29.68,27.4,27.79,2391608,1.40683
81,603026,石大胜华,4.529,33.7,31.78,34.92,31.52,32.24,12600519,24.8629
82,000669,金鸿能源,4.526,16.86,16.18,17.49,15.93,16.13,13367813,2.79354
83,000958,东方能源,4.518,15.5,14.74,15.75,14.66,14.83,19076276,7.6159
84,002769,普路通,4.495,75.32,71.5,76.42,71.18,72.08,4779527,12.91764
85,000070,特发信息,4.475,25.45,24.49,25.78,24.25,24.36,5818047,2.24972
86,002637,赞宇科技,4.47,24.54,23.0,24.85,22.99,23.49,5718663,5.06019
87,002520,日发精机,4.407,19.19,18.39,19.78,18.36,18.38,5135382,1.64282
88,002643,万润股份,4.398,47.71,45.1,49.48,45.1,45.7,9935811,3.20501
