,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,002795,N永和,43.973,21.38,17.82,21.38,17.82,14.85,18659,0.07464
1,603822,N嘉澳,43.963,16.93,14.11,16.93,14.11,11.76,12100,0.06594
2,002106,莱宝高科,10.047,9.42,8.68,9.42,8.68,8.56,22861974,3.24952
3,600609,金杯汽车,10.044,5.04,4.55,5.04,4.45,4.58,27942980,2.55732
4,002676,顺威股份,10.03,18.21,16.68,18.21,16.64,16.55,13328429,3.36102
5,002543,万和电气,10.02,16.69,15.12,16.69,15.0,15.17,20387879,6.8003
6,002360,同德化工,10.016,14.06,12.69,14.06,12.21,12.78,35445794,14.46667
7,603701,德宏股份,10.007,61.01,61.01,61.01,61.01,55.46,639968,3.26514
8,000048,康达尔,10.006,35.95,32.31,35.95,32.01,32.68,9173841,2.37622
9,002709,天赐材料,10.005,110.61,100.7,110.61,97.01,100.55,10110940,17.65869
10,002793,东音股份,10.005,40.68,40.68,40.68,40.68,36.98,89841,0.35936
11,300499,高澜股份,10.004,83.13,76.58,83.13,76.4,75.57,5429718,32.57179
12,300419,浩丰科技,10.003,200.92,184.0,200.92,182.55,182.65,4078378,18.987
13,300425,环能科技,10.003,33.54,30.44,33.54,30.21,30.49,4303074,6.29872
14,300474,景嘉微,10.002,120.1,120.1,120.1,120.1,109.18,692487,2.06713
15,600621,华鑫股份,10.0,10.89,10.01,10.89,10.01,9.9,51837062,9.89101
16,603868,飞科电器,10.0,55.66,55.66,55.66,55.66,50.6,603494,1.38416
17,000791,甘肃电投,10.0,11.0,9.9,11.0,9.9,10.0,16467957,2.28049
18,000966,长源电力,10.0,12.87,12.87,12.87,12.74,11.7,11902822,2.14797
19,002511,中顺洁柔,10.0,15.07,13.8,15.07,13.55,13.7,11491614,2.37632
20,300496,中科创达,10.0,222.53,202.6,222.53,198.05,202.3,6278660,25.11464
21,002148,北纬通信,9.994,18.71,16.99,18.71,16.71,17.01,21968149,10.85275
22,300508,维宏股份,9.994,56.35,56.35,56.35,56.35,51.23,4269,0.03612
23,603726,朗迪集团,9.988,27.2,27.2,27.2,27.2,24.73,15600,0.06588
24,300466,赛摩电气,9.988,27.42,24.74,27.42,24.21,24.93,18646581,31.07764
25,300509,新美星,9.987,25.33,25.33,25.33,25.33,23.03,2600,0.013
26,300051,三五互联,9.349,18.48,17.05,18.49,16.68,16.9,43190125,20.6026
27,002522,浙江众成,8.345,15.84,14.71,15.88,14.7,14.62,22574086,5.52525
28,601225,陕西煤业,7.86,4.94,4.59,5.04,4.54,4.58,70342649,2.59567
29,002053,云南盐化,7.807,29.0,27.09,29.19,27.09,26.9,9920874,5.33808
30,300469,信息发展,7.654,109.0,101.88,109.0,101.28,101.25,1858168,11.12675
31,300222,科大智能,7.599,24.92,23.38,24.98,22.72,23.16,27005848,10.25687
32,300368,汇金股份,7.529,45.7,42.37,46.7,42.05,42.5,17949694,23.87957
33,002723,金莱特,6.829,21.9,20.4,21.96,20.08,20.5,4006586,7.19865
34,300073,当升科技,6.763,41.2,38.4,41.53,37.52,38.59,19609872,12.33384
35,300283,温州宏丰,6.572,8.27,8.54,8.54,8.0,7.76,19675385,9.68439
36,300093,金刚玻璃,6.326,28.07,26.38,28.5,26.0,26.4,17575250,8.16424
37,002526,山东矿机,6.277,9.99,9.33,10.18,9.33,9.4,34518581,8.27152
38,002390,信邦制药,6.231,10.23,9.75,10.59,9.75,9.63,69275805,9.48665
39,002781,奇信股份,6.109,42.9,39.7,43.99,39.53,40.43,15372456,34.16101
40,300294,博雅生物,6.041,51.96,49.52,51.96,48.55,49.0,6814457,4.78056
41,002082,栋梁新材,6.008,18.88,17.87,19.14,17.73,17.81,11828652,7.46161
42,600963,岳阳林纸,5.892,6.65,6.32,6.72,6.32,6.28,45495646,4.36133
43,300211,亿通科技,5.771,24.01,22.95,24.01,22.51,22.7,4317283,4.65881
44,002316,键桥通讯,5.683,14.69,13.8,14.95,13.73,13.9,17850539,5.67179
