,序号,代码,名称,涨跌幅,现价,换手率
0,1,603085,天成自控,10.00,41.47,34.74
1,2,600831,广电网络,6.97,14.42,13.54
2,3,603299,井神股份,6.96,19.07,44.49
3,4,002451,摩恩电气,6.93,13.12,6.58
4,5,002678,珠江钢琴,4.84,13.21,1.63
5,6,600891,秋林集团,4.73,9.97,12.64
6,7,002514,宝馨科技,3.42,22.96,14.25
7,8,002758,华通医药,3.29,84.80,16.45
8,9,603012,创力集团,2.68,21.08,5.19
9,10,002445,中南重工,2.59,21.39,3.24
10,11,000600,建投能源,1.22,9.94,2.09
11,12,000760,斯太尔,0.89,13.62,16.74
12,13,002262,恩华药业,0.79,22.88,1.71
13,14,600686,金龙汽车,0.14,14.43,5.68
14,15,300211,亿通科技,0.07,26.53,7.35
15,16,000779,三毛派神,0.04,27.90,10.77
16,17,002699,美盛文化,-0.67,35.78,2.88
17,18,300412,迦南科技,-1.15,34.30,13.96
18,19,600479,千金药业,-1.89,15.04,1.52
19,20,603020,爱普股份,-2.32,46.70,5.18
20,21,002727,一心堂,-2.70,21.63,5.65
21,22,603023,威帝股份,-3.10,55.93,22.44
22,23,300416,苏试试验,-3.65,62.90,6.80
23,24,000793,华闻传媒,-3.72,10.10,6.58
24,25,300427,红相电力,-3.93,65.04,17.52
25,26,300161,华中数控,-6.00,23.95,6.79
