,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,000929,兰州黄河,10.036,15.13,15.13,15.13,15.13,13.75,736013,0.39649
1,002182,云海金属,10.028,15.58,13.84,15.58,13.63,14.16,29619200,13.45414
2,600360,华微电子,10.025,8.89,7.97,8.89,7.92,8.08,26526710,3.59402
3,002793,东音股份,10.02,27.78,27.78,27.78,27.78,25.25,18706,0.07482
4,002768,国恩股份,10.018,31.41,28.6,31.41,28.6,28.55,15075800,25.12633
5,002652,扬子新材,10.015,14.61,14.61,14.61,14.61,13.28,924924,0.3794
6,002204,大连重工,10.014,7.91,7.48,7.91,7.46,7.19,18684909,1.93489
7,002633,申科股份,10.014,22.85,22.85,22.85,22.85,20.77,13201,0.01517
8,002636,金安国纪,10.014,15.93,14.9,15.93,14.6,14.48,26767425,10.86393
9,603868,飞科电器,10.012,38.02,38.02,38.02,38.02,34.56,81462,0.18684
10,002702,海欣食品,10.01,21.21,18.88,21.21,18.82,19.28,50334409,40.46174
11,002661,克明面业,10.009,60.45,55.85,60.45,55.48,54.95,4215672,5.14139
12,603726,朗迪集团,10.006,18.58,18.58,18.58,18.58,16.89,8480,0.03581
13,603701,德宏股份,10.005,41.67,41.67,41.67,41.67,37.88,73320,0.37408
14,300474,景嘉微,10.004,82.03,82.03,82.03,82.03,74.57,179122,0.53469
15,603798,康普顿,10.003,64.77,64.77,64.77,62.03,58.88,16648285,66.59314
16,300508,维宏股份,10.003,38.49,38.49,38.49,38.49,34.99,1500,0.01269
17,002407,多氟多,10.002,93.7,84.88,93.7,84.2,85.18,44224866,23.67964
18,603618,杭电股份,10.0,14.08,13.0,14.08,12.9,12.8,54436680,20.6787
19,000593,大通燃气,10.0,11.77,10.68,11.77,10.53,10.7,9103144,4.07893
20,000632,三木集团,10.0,9.9,8.99,9.9,8.85,9.0,22450045,4.82293
21,300242,明家联合,9.997,37.08,33.17,37.08,32.9,33.71,12228877,9.37501
22,603028,赛福天,9.996,25.64,25.64,25.64,25.64,23.31,1639491,2.97009
23,002656,摩登大道,9.988,26.65,25.0,26.65,24.12,24.23,6366888,3.98709
24,002032,苏 泊 尔,9.986,38.77,34.99,38.78,34.71,35.25,6545093,1.40009
25,002242,九阳股份,9.983,19.17,17.2,19.17,17.2,17.43,17054175,2.23371
26,300051,三五互联,9.979,15.54,14.29,15.54,14.29,14.13,34858610,16.62829
27,300372,欣泰电气,9.979,15.54,14.5,15.54,14.13,14.13,9628955,10.65533
28,002729,好利来,9.978,78.59,71.3,78.61,70.4,71.46,3006854,17.00709
29,002326,永太科技,9.975,17.42,17.0,17.42,16.01,15.84,18155715,3.43474
30,002225,濮耐股份,9.969,7.17,6.4,7.17,6.35,6.52,60799276,10.43142
31,002610,爱康科技,9.964,12.14,10.44,12.14,10.36,11.04,43456440,6.18894
32,000153,丰原药业,9.962,11.48,11.0,11.48,10.46,10.44,19966844,6.4001
33,000780,平庄能源,9.922,5.65,5.0,5.65,4.98,5.14,52530350,5.17894
34,002466,天齐锂业,9.332,171.41,156.28,171.77,154.01,156.78,15704610,9.51553
35,000503,海虹控股,9.135,26.88,24.16,26.96,24.16,24.63,26997323,3.02628
36,002035,华帝股份,8.879,21.95,19.9,22.1,19.8,20.16,8025882,2.39977
37,002782,可立克,8.876,41.83,40.44,42.26,39.44,38.42,12838418,30.13713
38,600796,钱江生化,8.793,11.63,10.6,11.76,10.4,10.69,16421368,5.44832
39,000595,宝塔实业,8.506,10.97,9.82,11.06,9.7,10.11,11209983,5.17041
